ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
4,Kedah,P4,Langkawi,0.91,0.07,0.02,42697,34527,0.8086516617092536,2018,PAS,PAS,Zubir Bin Ahmad,1,0,5512,0.1596431778028789,-13442,-0.3893185043589075,0,0.010000000000000009,5161,3394,-0.02076543121487251,NA,NA,NA,NA,3,3,5512
5,Kedah,P5,Jerlun,0.91,0.08,0.02,52383,45052,0.8600500162266385,2013,BN,UMNO,Othman Bin Aziz,0,1,24161,0.5362913966083637,3270,0.07258279321672734,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1635
5,Kedah,P5,Jerlun,0.91,0.07,0.02,54132,43937,0.8116640803960689,2018,BN,UMNO,Othman Bin Aziz,1,0,12413,0.282518150988916,-6282,-0.14297744497803674,0,-0.009999999999999995,1749,-1115,-0.048385935830569604,-1,-9552,-0.21556023819476408,-0.2537732456194477,3,3,12413
5,Kedah,P5,Jerlun,0.91,0.08,0.02,52383,45052,0.8600500162266385,2013,Pakatan,PAS,Ismail Bin Salleh,0,0,20891,0.46370860339163633,-3270,-0.07258279321672734,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,20891
5,Kedah,P5,Jerlun,0.91,0.07,0.02,54132,43937,0.8116640803960689,2018,Pakatan,BERSATU,Mukhriz Mahathir,1,1,18695,0.4254955959669527,5866,0.13350934292282132,0,-0.009999999999999995,1749,-1115,-0.048385935830569604,1,9136,0.20609213613954866,-0.03821300742468364,3,1,4049.333333333334
5,Kedah,P5,Jerlun,0.91,0.07,0.02,54132,43937,0.8116640803960689,2018,PAS,PAS,Abd Ghani Bin Ahmad,1,0,12829,0.2919862530441314,-5866,-0.13350934292282132,0,-0.009999999999999995,1749,-1115,-0.048385935830569604,NA,NA,NA,NA,3,2,12829
6,Kedah,P6,Kubang Pasu,0.86,0.09,0.04,65550,56224,0.8577269260106789,2013,BN,UMNO,Mohd Johari Bin Baharum,0,1,33334,0.5928784860557769,10444,0.1857569721115538,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5222
6,Kedah,P6,Kubang Pasu,0.87,0.09,0.04,73881,60334,0.8166375658152976,2018,BN,UMNO,Mohd Johari Bin Baharum,1,0,16975,0.28135048231511256,-13009,-0.21561640202870686,0.010000000000000009,0,8331,4110,-0.04108936019538134,-1,-23453,-0.40137337414026064,-0.3115280037406643,3,2,16975
6,Kedah,P6,Kubang Pasu,0.86,0.09,0.04,65550,56224,0.8577269260106789,2013,Pakatan,PAS,Mohd Jamal Bin Nasir,0,0,22890,0.40712151394422313,-10444,-0.1857569721115538,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,22890
6,Kedah,P6,Kubang Pasu,0.87,0.09,0.04,73881,60334,0.8166375658152976,2018,Pakatan,BERSATU,Amiruddin Bin Hamzah,1,1,29984,0.4969668843438194,13009,0.21561640202870686,0.010000000000000009,0,8331,4110,-0.04108936019538134,1,23453,0.40137337414026064,0.08984537039959628,3,1,9872.666666666668
