id,State,ParliamentCode,Parliament,DUNCode,DUN
572,Sarawak,P212,Sibu,N54,Pelawan
573,Sarawak,P212,Sibu,N55,Nangka
574,Sarawak,P213,Mukah,N56,Dalat
575,Sarawak,P213,Mukah,N57,Tellian
576,Sarawak,P213,Mukah,N58,Balingan
577,Sarawak,P214,Selangau,N59,Tamin
578,Sarawak,P214,Selangau,N60,Kakus
579,Sarawak,P215,Kapit,N61,Pelagus
580,Sarawak,P215,Kapit,N62,Katibas
581,Sarawak,P215,Kapit,N63,Bukit Goram
582,Sarawak,P216,Hulu Rajang,N64,Baleh
583,Sarawak,P216,Hulu Rajang,N65,Belaga
584,Sarawak,P216,Hulu Rajang,N66,Murum
585,Sarawak,P217,Bintulu,N67,Jepak
586,Sarawak,P217,Bintulu,N68,Tanjong Batu
587,Sarawak,P217,Bintulu,N69,Kemena
588,Sarawak,P217,Bintulu,N70,Samalaju
589,Sarawak,P218,Sibuti,N71,Bekenu
590,Sarawak,P218,Sibuti,N72,Lambir
591,Sarawak,P219,Miri,N73,Piasau
592,Sarawak,P219,Miri,N74,Pujut
593,Sarawak,P219,Miri,N75,Senadin
594,Sarawak,P220,Baram,N76,Marudi
595,Sarawak,P220,Baram,N77,Telang Usan
596,Sarawak,P220,Baram,N78,Mulu
597,Sarawak,P221,Limbang,N79,Bukit Kota
598,Sarawak,P221,Limbang,N80,Batu Danau
599,Sarawak,P222,Lawas,N81,Ba'kelalan
600,Sarawak,P222,Lawas,N82,Bukit Sari
