ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
11,2018,KD,Pendang,P11,74867,0.89,0.05,0.01,BERSATU,Wan Saifulruddin Bin Wan Jan,14901
11,2018,KD,Pendang,P11,74867,0.89,0.05,0.01,BEBAS,Abdul Malik Bin Manaf,81
11,2013,KD,Pendang,P11,70135,0.88,0.06,0.01,UMNO,Othman Bin Abdul,32165
11,2013,KD,Pendang,P11,70135,0.88,0.06,0.01,PAS,Mohamad Bin Sabu,29527
12,2018,KD,Jerai,P12,79976,0.8,0.14,0.06,PAS,Sabri Bin Azit,22312
12,2018,KD,Jerai,P12,79976,0.8,0.14,0.06,UMNO,Jamil Khir Bin Baharom,21773
12,2018,KD,Jerai,P12,79976,0.8,0.14,0.06,BERSATU,Akhramsyah Muammar Ubaidah Bin Sanusi,21651
12,2013,KD,Jerai,P12,74410,0.79,0.15,0.06,UMNO,Jamil Khir Bin Baharom,32429
12,2013,KD,Jerai,P12,74410,0.79,0.15,0.06,PAS,Mohd Firdaus Bin Jaafar,31233
13,2018,KD,Sik,P13,50385,0.93,0.02,0.05,PAS,Ahmad Tarmizi Bin Sulaiman,20088
13,2018,KD,Sik,P13,50385,0.93,0.02,0.05,UMNO,Mansor Bin Abd Rahman,14870
13,2018,KD,Sik,P13,50385,0.93,0.02,0.05,AMANAH,Azli Bin Uda,6970
13,2013,KD,Sik,P13,46786,0.93,0.02,0.05,UMNO,Mansor Bin Abd Rahman,22084
13,2013,KD,Sik,P13,46786,0.93,0.02,0.05,PAS,Che Uda Bin Che Nik,19277
14,2018,KD,Merbok,P14,87782,0.69,0.15,0.15,PKR,Nor Azrina Binti Surip,30902
14,2018,KD,Merbok,P14,87782,0.69,0.15,0.15,UMNO,Tajul Urus Bin Mat Zain,20830
14,2018,KD,Merbok,P14,87782,0.69,0.15,0.15,PAS,Ahmad Fauzi Bin Ramli,19618
14,2013,KD,Merbok,P14,85908,0.65,0.17,0.18,UMNO,Ismail Bin Daut,38538
14,2013,KD,Merbok,P14,85908,0.65,0.17,0.18,PKR,Nor Azrina Binti Surip,34416
15,2018,KD,Sungai Petani,P15,112577,0.61,0.27,0.12,PKR,Johari Bin Abdul,45532
15,2018,KD,Sungai Petani,P15,112577,0.61,0.27,0.12,UMNO,Shahanim Binti Mohamad Yusoff,23963
15,2018,KD,Sungai Petani,P15,112577,0.61,0.27,0.12,PAS,Sharir Bin Long,22760
15,2018,KD,Sungai Petani,P15,112577,0.61,0.27,0.12,PRM,Sritharan A/L Pichathu,279
15,2013,KD,Sungai Petani,P15,93176,0.59,0.29,0.12,PKR,Johari Bin Abdul,44194
15,2013,KD,Sungai Petani,P15,93176,0.59,0.29,0.12,UMNO,Syamsyul Anuar Bin Che Mey @ Ismail,34646
15,2013,KD,Sungai Petani,P15,93176,0.59,0.29,0.12,IND,Ong Wei Sin,772
15,2013,KD,Sungai Petani,P15,93176,0.59,0.29,0.12,KITA,Suhaimi Bin Hashim,200
16,2018,KD,Baling,P16,107213,0.89,0.04,0.05,UMNO,Abdul Azeez Bin Abdul Rahim,38557
16,2018,KD,Baling,P16,107213,0.89,0.04,0.05,PAS,Hassan Bin Saad,37483
16,2018,KD,Baling,P16,107213,0.89,0.04,0.05,BERSATU,Mohd Taufik Bin Yaacob,14472
16,2013,KD,Baling,P16,93168,0.89,0.05,0.05,UMNO,Abdul Azeez Bin Abdul Rahim,43504
16,2013,KD,Baling,P16,93168,0.89,0.05,0.05,PAS,Najmi Bin Hj Ahmad,38319
17,2018,KD,Padang Serai,P17,84834,0.59,0.2,0.21,PKR,Karupaiya A/L Mutusami,31724
17,2018,KD,Padang Serai,P17,84834,0.59,0.2,0.21,PAS,Muhamad Sobri Bin Osman,22911
17,2018,KD,Padang Serai,P17,84834,0.59,0.2,0.21,MCA,Leong Yong Kong,15449
